name,class,fault_id,county,length_km,time,slip_rate
"los osos fault zone, newsom ridge section",A,79d,san luis obispo,14,late Quaternary (<130 ka),Less than 0.2 mm/yr
lost man fault,A,147,del norte,NA,undifferentiated Quaternary (<1.6 Ma),Between 0.2 and 1.0 mm/yr
lower covington flat fault,A,522,inyo,9,latest Quaternary (<15 ka),Unspecified
lower elysian park thrust,A,134,los angeles,50,undifferentiated Quaternary (<1.6 Ma),Between 1.0 and 5.0 mm/yr
lower pitas point-montalvo structure,A,492,santa barbara,90,undifferentiated Quaternary (<1.6 Ma),Unspecified
"maacama fault zone, northern section",A,30a,mendocino,107,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
"maacama fault zone, southern section",A,30b,mendocino,53,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
mad river fault zone,A,13,humboldt,81,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
malibu coast fault,A,99,ventura,62,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
mayfield fault zone,A,6,siskiyou,32,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
mcarthur fault zone,A,8,lassen,59,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
mccumber flat fault,A,792,shasta,11,undifferentiated Quaternary (<1.6 Ma),Insufficient data
mcgrath fault,A,523,san bernardino,8,undifferentiated Quaternary (<1.6 Ma),Unspecified
mecca hills fault zone,A,316,riverside,41,latest Quaternary (<15 ka),Unspecified
mendocino fault zone,A,18,humboldt,174,latest Quaternary (<15 ka),Greater than 5.0 mm/yr
mesa-rincon creek fault zone,A,264,santa barbara,37,late Quaternary (<130 ka),Unspecified
mesquite lake fault,A,123,san bernardino,49,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
midland fault zone,A,506,solano,88,undifferentiated Quaternary (<1.6 Ma),Unspecified
miller creek fault,A,217,monterey,NA,late Quaternary (<130 ka),Unspecified
mirage valley fault zone,A,323,san bernardino,37,late Quaternary (<130 ka),Unspecified
mission hills fault zone,A,280,los angeles,11,late Quaternary (<130 ka),Unspecified
"mission ridge fault system, arroyo parida section",A,88c,santa barbara,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"mission ridge fault system, mission ridge section",A,88b,santa barbara,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"mission ridge fault system, more ranch section",A,88a,santa barbara,NA,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
"mission ridge fault system, santa ana section",A,88d,ventura,NA,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
mocho fault,A,399,alameda,5,undifferentiated Quaternary (<1.6 Ma),Unspecified
"mohawk valley fault zone, mohawk valley section",A,25a,plumas,24,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"mohawk valley fault zone, sierra valley section",A,25b,sierra,18,late Quaternary (<130 ka),Between 0.2 and 1.0 mm/yr
mono lake fault,A,41,mono,23,latest Quaternary (<15 ka),Between 1.0 and 5.0 mm/yr
montalvo fault,A,524,ventura,7,undifferentiated Quaternary (<1.6 Ma),Unspecified
"monterey bay- tularcitos fault zone, monterey bay section",A,62a,monterey,42,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"monterey bay- tularcitos fault zone, seaside-monterey section",A,62b,monterey,25,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
"monterey bay- tularcitos fault zone, tularcitos section",A,62c,monterey,32,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
monte vista-shannon fault zone,A,56,san mateo,46,latest Quaternary (<15 ka),Between 0.2 and 1.0 mm/yr
